Measurement,Frequency,Gain
1,9950000,-175.770482092237
2,9951000,-174.355917862919
3,9952000,-172.911948183681
4,9953000,-171.437314363282
5,9954000,-169.930674653728
6,9955000,-168.390596734678
7,9956000,-166.815549322936
8,9957000,-165.203892781137
9,9958000,-163.553868577996
10,9959000,-161.863587426226
11,9960000,-160.131015892537
12,9961000,-158.353961235613
13,9962000,-156.53005418084
14,9963000,-154.656729282763
15,9964000,-152.731202454845
16,9965000,-150.750445157268
17,9966000,-148.711154622605
18,9967000,-146.609719359267
19,9968000,-144.442178995419
20,9969000,-142.204177299292
21,9970000,-139.890906919634
22,9971000,-137.497044010106
23,9972000,-135.016670402445
24,9973000,-132.44318033144
25,9974000,-129.769167826861
26,9975000,-126.986289682107
27,9976000,-124.085097250824
28,9977000,-121.054828008018
29,9978000,-117.883144529944
30,9979000,-114.555803810943
31,9980000,-111.056232868007
32,9981000,-107.364976110603
33,9982000,-103.458963823624
34,9983000,-99.310525581096
35,9984000,-94.8860307165404
36,9985000,-90.1439673989037
37,9986000,-85.032147280803
38,9987000,-79.4834916376601
39,9988000,-73.4094002715007
40,9989000,-66.6887426158672
41,9990000,-59.1482822172768
42,9991000,-50.5245413866985
43,9992000,-40.3794488567055
44,9993000,-27.8770362297491
45,9994000,-11.206732292319
46,9995000,-0.00999999999998437
47,9996000,-0.00179149391119185
48,9997000,-0.00177005617572365
49,9998000,-0.00978072924267324
50,9999000,-0.00001453133487517
51,10000000,-0.00999996004606829
52,10001000,-0.0000176721599423963
53,10002000,-0.00976986931457344
54,10003000,-0.00179455836238184
55,10004000,-0.00177311723446015
56,10005000,-0.00999999999998437
57,10006000,-11.1854378520924
58,10007000,-27.8430504072111
59,10008000,-40.3360581502788
60,10009000,-50.4725424287338
61,10010000,-59.0881046467167
62,10011000,-66.6206593895925
63,10012000,-73.3335987149141
64,10013000,-79.400107015019
65,10014000,-84.9412809798565
66,10015000,-90.0456976455766
67,10016000,-94.7804192832001
68,10017000,-99.1976221880021
69,10018000,-103.338809137457
70,10019000,-107.237603851471
71,10020000,-110.921671328966
72,10021000,-114.414076978451
73,10022000,-117.734272926029
74,10023000,-120.898829334006
75,10024000,-123.921986886734
76,10025000,-126.816081079179
77,10026000,-129.591872819775
78,10027000,-132.258809389325
79,10028000,-134.825232832599
80,10029000,-137.298548124847
81,10030000,-139.685360174028
82,10031000,-141.991586405693
83,10032000,-144.222550019385
84,10033000,-146.383057800389
85,10034000,-148.477465483027
86,10035000,-150.509733000078
87,10036000,-152.483471454105
88,10037000,-154.401983266584
89,10038000,-156.268296668608
90,10039000,-158.085195470334
91,10040000,-159.855244869026
92,10041000,-161.580813915779
93,10042000,-163.264095150056
94,10043000,-164.907121822385
95,10044000,-166.511783054169
96,10045000,-168.079837225777
97,10046000,-169.612923836956
98,10047000,-171.11257404516
99,10048000,-172.580220055593
100,10049000,-174.017203510615
101,10050000,-175.424783004383
